datetime,open,high,low,close,volume,Market Cap
2017/9/10,4229.34,4245.44,3951.04,4122.94,1679.09,70018100000
2017/9/9,4229.81,4308.82,4114.11,4226.06,1386.23,70017200000
2017/9/8,4605.16,4661,4075.18,4228.75,2700.89,76220200000
2017/9/7,4589.14,4655.04,4491.33,4599.88,1844.62,75945000000
2017/9/6,4376.59,4617.25,4376.59,4597.12,2172.1,72418700000
2017/9/5,4228.29,4427.84,3998.11,4376.53,2697.97,69954400000
2017/9/4,4591.63,4591.63,4108.4,4236.31,2987.33,75955500000
2017/9/3,4585.27,4714.08,4417.59,4582.96,1933.19,75841700000
2017/9/2,4901.42,4975.04,4469.24,4578.77,2722.14,81060600000
2017/9/1,4701.76,4892.01,4678.53,4892.01,2599.08,77748400000
2017/8/31,4555.59,4736.05,4549.4,4703.39,1944.93,75322300000
2017/8/30,4570.36,4626.52,4471.41,4565.3,1937.85,75556600000
2017/8/29,4389.21,4625.68,4352.13,4579.02,2486.08,72553800000
2017/8/28,4384.45,4403.93,4224.64,4382.66,1959.33,72467900000
2017/8/27,4345.1,4416.59,4317.29,4382.88,1537.46,71809200000
2017/8/26,4372.06,4379.28,4269.52,4352.4,1511.61,72249100000
2017/8/25,4332.82,4455.7,4307.35,4371.6,1727.97,71595100000
2017/8/24,4137.6,4376.39,4130.26,4334.68,2037.75,68363900000
2017/8/23,4089.01,4255.78,4078.41,4151.52,2369.82,67553000000
2017/8/22,3998.35,4128.76,3674.58,4100.52,3764.24,66051000000
2017/8/21,4090.48,4109.14,3988.6,4001.74,2800.89,67567100000
2017/8/20,4189.31,4196.29,4069.88,4087.66,2109.77,69192700000
2017/8/19,4137.75,4243.26,3970.55,4193.7,2975.82,68333100000
2017/8/18,4324.34,4370.13,4015.4,4160.62,2941.71,71406500000
2017/8/17,4384.44,4484.7,4243.71,4331.69,2553.36,72389100000
2017/8/16,4200.34,4381.23,3994.42,4376.63,2272.04,69342700000
2017/8/15,4326.99,4455.97,3906.18,4181.93,3258.05,71425500000
2017/8/14,4066.1,4325.13,3989.16,4325.13,2463.09,67112300000
2017/8/13,3880.04,4208.39,3857.8,4073.26,3159.09,64034100000
2017/8/12,3650.63,3949.92,3613.7,3884.71,2219.59,60242100000
2017/8/11,3373.82,3679.72,3372.12,3650.62,2021.19,55668000000
2017/8/10,3341.84,3453.45,3319.47,3381.28,1515.11,55134700000
2017/8/9,3420.4,3422.76,3247.67,3342.47,1468.96,56424900000
2017/8/8,3370.22,3484.85,3345.83,3419.94,1752.76,55590300000
2017/8/7,3212.78,3397.68,3180.89,3378.94,1482.28,52987300000
2017/8/6,3257.61,3293.29,3155.6,3213.94,1105.03,53720900000
2017/8/5,2897.63,3290.01,2874.83,3252.91,1945.7,47778200000
2017/8/4,2806.93,2899.33,2743.72,2895.89,1002.12,46276200000
2017/8/3,2709.56,2813.31,2685.14,2804.73,804.797,44666400000
2017/8/2,2727.13,2762.53,2668.59,2710.67,1094.95,44950800000
2017/8/1,2871.3,2921.35,2685.61,2718.26,1324.67,47321800000
2017/7/31,2763.24,2889.62,2720.61,2875.34,860.575,45535800000
2017/7/30,2724.39,2758.53,2644.85,2757.18,705.943,44890700000
2017/7/29,2807.02,2808.76,2692.8,2726.45,803.746,46246700000
2017/7/28,2679.73,2897.45,2679.73,2809.01,1380.1,44144400000
2017/7/27,2538.71,2693.32,2529.34,2671.78,789.104,41816500000
2017/7/26,2577.77,2610.76,2450.8,2529.45,937.404,42455000000
2017/7/25,2757.5,2768.08,2480.96,2576.48,1460.09,45410100000
2017/7/24,2732.7,2777.26,2699.19,2754.86,866.474,44995600000
2017/7/23,2808.1,2832.18,2653.94,2730.4,1072.84,46231100000
2017/7/22,2668.63,2862.42,2657.71,2810.12,1177.13,43929600000
2017/7/21,2838.41,2838.41,2621.85,2667.76,1489.45,46719000000
2017/7/20,2269.89,2900.7,2269.89,2817.6,2249.26,37356800000
2017/7/19,2323.08,2397.17,2260.23,2273.43,1245.1,38227800000
2017/7/18,2233.52,2387.61,2164.77,2318.88,1512.45,36749400000
2017/7/17,1932.62,2230.49,1932.62,2228.41,1201.76,31795000000
2017/7/16,1991.98,2058.77,1843.03,1929.82,1182.87,32767600000
2017/7/15,2230.12,2231.14,1990.41,1998.86,993.608,36681300000
2017/7/14,2360.59,2363.25,2183.22,2233.34,882.503,38823100000
2017/7/13,2402.7,2425.22,2340.83,2357.9,835.77,39511000000
2017/7/12,2332.77,2423.71,2275.14,2398.84,1117.41,38355900000
2017/7/11,2385.89,2413.47,2296.81,2337.79,1329.76,39224200000
2017/7/10,2525.25,2537.16,2321.13,2372.56,1111.2,41509000000
2017/7/9,2572.61,2635.49,2517.59,2518.44,527.856,42283200000
2017/7/8,2520.27,2571.34,2492.31,2571.34,733.33,41417700000
2017/7/7,2608.59,2916.14,2498.87,2518.66,917.412,42864200000
2017/7/6,2608.1,2616.72,2581.69,2608.56,761.957,42851400000
2017/7/5,2602.87,2622.65,2538.55,2601.99,941.566,42760800000
2017/7/4,2561,2631.59,2559.35,2601.64,985.516,42067900000
2017/7/3,2498.56,2595,2480.47,2564.06,964.112,41037200000
2017/7/2,2436.4,2514.28,2394.84,2506.47,803.747,40010500000
2017/7/1,2492.6,2515.27,2419.23,2434.55,779.914,40928200000
2017/6/30,2539.24,2559.25,2478.43,2480.84,860.273,41689100000
2017/6/29,2567.56,2588.83,2510.48,2539.32,949.979,42150300000
2017/6/28,2553.03,2603.98,2484.42,2574.79,1183.87,41906700000
2017/6/27,2478.45,2552.45,2332.99,2552.45,1489.79,40677900000
2017/6/26,2590.57,2615.25,2376.29,2478.45,1663.28,42514000000
2017/6/25,2607.25,2682.26,2552.12,2589.41,1161.1,42783800000
2017/6/24,2738.52,2757.94,2583.19,2608.72,982.75,44932900000
2017/6/23,2707.34,2765.17,2706.37,2744.91,961.319,44415900000
2017/6/22,2691.03,2723.74,2642.36,2705.41,1097.94,44143700000
2017/6/21,2709.43,2772.01,2660.4,2689.1,1626.58,44440800000
2017/6/20,2591.26,2763.45,2589.82,2721.79,1854.19,42498000000
2017/6/19,2549.03,2662.85,2549.03,2589.6,1446.84,41800600000
2017/6/18,2655.35,2662.1,2516.33,2548.29,1178.66,43539300000
2017/6/17,2514.01,2685.19,2484.96,2655.88,1534.51,41217200000
2017/6/16,2469.57,2539.92,2385.15,2518.56,1195.19,40484100000
2017/6/15,2499.58,2534.71,2212.96,2464.58,2026.26,40971300000
2017/6/14,2716.88,2786.83,2412.94,2506.37,1696.56,44528300000
2017/6/13,2680.91,2789.04,2650.38,2717.02,1781.2,43934100000
2017/6/12,2953.22,2997.26,2518.56,2659.63,2569.53,48391200000
2017/6/11,2942.41,2996.6,2840.53,2958.11,1752.4,48208700000
2017/6/10,2828.14,2950.99,2746.55,2947.71,2018.89,46331400000
2017/6/9,2807.44,2901.71,2795.62,2823.81,1348.95,45987100000
2017/6/8,2720.49,2815.3,2670.95,2805.62,1281.17,44557100000
2017/6/7,2869.38,2869.38,2700.56,2732.16,1517.71,46989800000
2017/6/6,2690.84,2999.91,2690.84,2863.2,2089.61,44061000000
2017/6/5,2512.4,2686.81,2510.22,2686.81,1369.31,41133900000
2017/6/4,2547.79,2585.89,2452.54,2511.81,1355.12,41708200000
2017/6/3,2493.72,2581.91,2423.57,2515.35,1514.95,40817100000
2017/6/2,2404.03,2488.55,2373.32,2488.55,1317.03,39344600000
2017/6/1,2288.33,2448.39,2288.33,2407.88,1653.18,37446200000
2017/5/31,2187.19,2311.08,2145.57,2286.41,1544.83,35786700000
2017/5/30,2255.36,2301.96,2124.57,2175.47,1443.97,36897000000
2017/5/29,2159.43,2307.05,2107.17,2255.61,994.625,35323500000
2017/5/28,2054.08,2267.34,2054.08,2155.8,1147.14,33595900000
2017/5/27,2196.27,2260.2,1855.83,2038.87,1700.48,35917100000
2017/5/26,2320.89,2573.79,2071.99,2202.42,1763.48,37950600000
2017/5/25,2446.24,2763.71,2285.3,2304.98,2406.7,39995400000
2017/5/24,2321.37,2523.72,2321.37,2443.64,1725.38,37949200000
2017/5/23,2191.56,2320.82,2178.5,2320.42,1378.75,35822600000
2017/5/22,2043.19,2303.9,2017.87,2173.4,1942.22,33393600000
2017/5/21,2067.03,2119.08,2037.5,2041.2,1147.86,33779400000
2017/5/20,1984.24,2084.73,1974.92,2084.73,961.336,32422400000
2017/5/19,1897.37,2004.52,1890.25,1987.71,1157.29,30999000000
2017/5/18,1818.7,1904.48,1807.12,1888.65,894.321,29710500000
2017/5/17,1726.73,1864.05,1661.91,1839.09,1064.73,28204800000
2017/5/16,1741.7,1785.94,1686.54,1734.45,959.045,28446300000
2017/5/15,1808.44,1812.8,1708.54,1738.43,731.529,29532600000
2017/5/14,1800.86,1831.42,1776.62,1808.91,437.196,29405100000
2017/5/13,1723.12,1812.99,1651.08,1804.91,579.635,28132300000
2017/5/12,1845.76,1856.15,1694.01,1724.24,740.984,30131100000
2017/5/11,1780.37,1873.93,1755.35,1848.57,799.49,29060600000
2017/5/10,1756.52,1788.44,1719.1,1787.13,915.723,28668100000
2017/5/9,1723.89,1833.49,1716.3,1755.36,1167.92,28132200000
2017/5/8,1596.92,1723.35,1596.92,1723.35,1340.32,26056500000
2017/5/7,1579.47,1596.72,1559.76,1596.71,1080.03,25768500000
2017/5/6,1556.81,1578.8,1542.5,1578.8,582.53,25395600000
2017/5/5,1540.87,1618.03,1530.31,1555.45,946.036,25133100000
2017/5/4,1490.72,1608.91,1490.72,1537.67,933.549,24311900000
2017/5/3,1453.78,1492.77,1447.49,1490.09,583.796,23707100000
2017/5/2,1421.03,1473.9,1415.69,1452.82,477.338,23170200000
2017/5/1,1348.3,1434.32,1348.3,1421.6,713.624,21981800000
2017/4/30,1321.87,1347.91,1314.92,1347.89,413.115,21548400000
2017/4/29,1317.84,1327.2,1315.21,1321.79,422.706,21479800000
2017/4/28,1317.74,1331.28,1292.37,1316.48,527.489,21476000000
2017/4/27,1281.88,1319.7,1281.3,1317.73,449.197,20889200000
2017/4/26,1265.99,1294.83,1265.93,1281.08,329.631,20627900000
2017/4/25,1250.45,1267.58,1249.97,1265.49,242.556,20372300000
2017/4/24,1209.63,1250.94,1209.63,1250.15,235.806,19705400000
2017/4/23,1231.92,1232.2,1203.94,1207.21,258.951,20066200000
2017/4/22,1222.71,1235.56,1208.47,1231.71,249.32,19913900000
2017/4/21,1229.42,1235.94,1215.56,1222.05,272.167,20020700000
2017/4/20,1211.08,1240.79,1208.41,1229.08,315.108,19719900000
2017/4/19,1212.13,1215.51,1205.08,1210.29,288.061,19734800000
2017/4/18,1193.77,1217.57,1193.77,1211.67,270.524,19433800000
2017/4/17,1183.25,1194.9,1172.65,1193.91,253.206,19260500000
2017/4/16,1172.61,1187.22,1172.61,1182.94,183.231,19085100000
2017/4/15,1167.3,1188,1164.96,1172.52,203.559,18996500000
2017/4/14,1170.33,1190.8,1159.79,1167.54,254.827,19043800000
2017/4/13,1201.02,1205.89,1156.44,1169.28,351.969,19541300000
2017/4/12,1204.81,1207.14,1196.76,1200.37,288.702,19600800000
2017/4/11,1187.46,1208.07,1187.46,1205.01,216.182,19316000000
