datetime,open,high,low,close,volume,symbol
2022-03-30,47438.8,47690.0,46544.0,47059.9,9134.33174036,BTC
2022-03-31,47060.0,47610.0,45200.0,45513.3,9507.31232792,BTC
2022-04-01,45513.3,46707.8,44219.6,46278.0,10800.13230933,BTC
2022-04-02,46277.9,47204.3,45620.0,45809.4,7216.05780929,BTC
2022-04-03,45809.4,47440.0,45520.0,46409.9,5535.65799429,BTC
2022-04-04,46410.0,46886.6,45120.0,46587.7,7595.58050241,BTC
2022-04-05,46587.7,47189.5,45362.7,45496.4,6964.47988812,BTC
2022-04-06,45499.1,45501.9,43119.1,43170.8,13293.26335019,BTC
2022-04-07,43170.8,43897.9,42726.6,43446.3,7934.83653169,BTC
2022-04-08,43440.1,43980.0,42112.0,42260.0,9641.85049765,BTC
2022-04-09,42260.0,42795.0,42128.0,42748.8,5254.33261058,BTC
2022-04-10,42748.9,43408.5,41870.0,42149.4,6276.92345878,BTC
